6	300000
15	750000
30	1500000
38	1900000
43	2150000
49	2450000
59	2950000
66	3300000
74	3700000
85	4250000
90	4500000
96	4800000
115	5750000
120	6000000
151	7550000
159	7950000
166	8300000
198	9900000
209	10450000
218	10900000
222	11100000
259	12950000
277	13850000
291	14550000
303	15150000
309	15450000
320	16000000
324	16200000
333	16650000
341	17050000
352	17600000
363	18150000
371	18550000
380	19000000
594	29700000
646	32300000
654	32700000
659	32950000
664	33200000
684	34200000
691	34550000
715	35750000
758	37900000
764	38200000
779	38950000
791	39550000
799	39950000
806	40300000
813	40650000
841	42050000
868	43400000
873	43650000
891	44550000
900	45000000
910	45500000
932	46600000
939	46950000
946	47300000
969	48450000
973	48650000
977	48850000
984	49200000
993	49650000
998	49900000
1007	50350000
1013	50650000
1026	51300000
1030	51500000
1052	52600000
1076	53800000
1084	54200000
1102	55100000
1110	55500000
1121	56050000
