11	550000	29	1450000
38	1900000	58	2900000
96	4800000	112	5600000
114	5700000	140	7000000
142	7100000	157	7850000
233	11650000	257	12850000
259	12950000	282	14100000
291	14550000	340	17000000
613	30650000	645	32250000
664	33200000	687	34350000
727	36350000	745	37250000
758	37900000	778	38900000
848	42400000	871	43550000
873	43650000	890	44500000
937	46850000	954	47700000
956	47800000	980	49000000
981	49050000	997	49850000
1007	50350000	1036	51800000
1038	51900000	1071	53550000
1121	56050000	1142	57100000
