2	50000	12	300000
21	525000	29	725000
31	775000	39	975000
49	1225000	58	1450000
88	2200000	95	2375000
98	2450000	105	2625000
106	2650000	120	3000000
128	3200000	146	3650000
155	3875000	163	4075000
170	4250000	177	4425000
189	4725000	197	4925000
209	5225000	218	5450000
219	5475000	241	6025000
264	6600000	271	6775000
318	7950000	348	8700000
350	8750000	375	9375000
384	9600000	396	9900000
407	10175000	415	10375000
417	10425000	426	10650000
427	10675000	448	11200000
451	11275000	460	11500000
463	11575000	513	12825000
516	12900000	524	13100000
525	13125000	539	13475000
659	16475000	669	16725000
671	16775000	698	17450000
706	17650000	718	17950000
722	18050000	728	18200000
743	18575000	785	19625000
786	19650000	800	20000000
802	20050000	812	20300000
813	20325000	823	20575000
892	22300000	905	22625000
906	22650000	933	23325000
937	23425000	944	23600000
946	23650000	959	23975000
999	24975000	1006	25150000
1017	25425000	1025	25625000
1043	26075000	1053	26325000
1066	26650000	1087	27175000
1089	27225000	1117	27925000
1123	28075000	1131	28275000
1206	30150000	1216	30400000
1218	30450000	1230	30750000
1232	30800000	1239	30975000
1249	31225000	1260	31500000
1261	31525000	1269	31725000
1272	31800000	1283	32075000
1285	32125000	1298	32450000
1299	32475000	1312	32800000
1315	32875000	1333	33325000
1335	33375000	1346	33650000
1354	33850000	1363	34075000
1372	34300000	1380	34500000
1381	34525000	1391	34775000
1393	34825000	1400	35000000
1401	35025000	1409	35225000
1418	35450000	1426	35650000
1428	35700000	1435	35875000
1438	35950000	1445	36125000
1446	36150000	1457	36425000
1462	36550000	1469	36725000
1477	36925000	1484	37100000
1487	37175000	1501	37525000
1502	37550000	1520	38000000
1521	38025000	1528	38200000
1544	38600000	1555	38875000
1628	40700000	1637	40925000
1646	41150000	1654	41350000
1671	41775000	1737	43425000
1740	43500000	1748	43700000
1749	43725000	1763	44075000
1769	44225000	1785	44625000
1786	44650000	1795	44875000
1798	44950000	1818	45450000
1819	45475000	1830	45750000
1845	46125000	1857	46425000
1859	46475000	1868	46700000
1870	46750000	1887	47175000
1898	47450000	1905	47625000
1907	47675000	1944	48600000
1946	48650000	1956	48900000
1958	48950000	1970	49250000
1972	49300000	1979	49475000
1982	49550000	1994	49850000
1997	49925000	2005	50125000
2008	50200000	2017	50425000
2040	51000000	2053	51325000
2054	51350000	2064	51600000
2065	51625000	2084	52100000
2089	52225000	2142	53550000
2143	53575000	2157	53925000
2159	53975000	2168	54200000
2189	54725000	2254	56350000
2263	56575000	2293	57325000
2294	57350000	2328	58200000
2330	58250000	2337	58425000
2338	58450000	2347	58675000
2355	58875000	2362	59050000
2398	59950000	2450	61250000
2453	61325000	2475	61875000
2479	61975000	2486	62150000
2496	62400000	2504	62600000
2519	62975000	2527	63175000
2531	63275000	2539	63475000
2542	63550000	2559	63975000
